"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","spec_ed_students","english_language_learners","est_population_total","est_population_5_17","est_population_5_17_pct"
"2016","3601001","ACADEMIC LEADERSHIP CHARTER SCHOOL","New York","BRONX","Charter agency","520","","64","","",""
"2016","3601002","BROWNSVILLE ASCEND CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1017","","13","","",""
"2016","3601003","HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","New York","BROOKLYN","Charter agency","612","","42","","",""
"2016","3601004","CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL","New York","BROOKLYN","Charter agency","932","","41","","",""
"2016","3601005","EQUALITY CHARTER SCHOOL","New York","BRONX","Charter agency","528","","16","","",""
"2016","3601006","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","New York","ALBANY","Charter agency","394","","25","","",""
"2016","3601008","UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN","New York","ROCHESTER","Charter agency","385","","3","","",""
"2016","3601009","SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5","New York","NEW YORK","Charter agency","678","","40","","",""
"2016","3601010","DEMOCRACY PREP HARLEM CHARTER SCHOOL","New York","NEW YORK","Charter agency","896","","43","","",""
"2016","3601011","SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","New York","BRONX","Charter agency","677","","35","","",""
"2016","3601012","SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","New York","BRONX","Charter agency","725","","44","","",""
"2016","3601013","NEW HOPE ACADEMY CHARTER SCHOOL","New York","BROOKLYN","Charter agency","401","","3","","",""
"2016","3601014","CULTURAL ARTS ACADEMY CHARTER SCHOOL AT SPRING CREEK","New York","BROOKLYN","Charter agency","277","","","","",""
"2016","3601015","BROOKLYN DREAMS CHARTER SCHOOL","New York","BROOKLYN","Charter agency","622","","63","","",""
"2016","3601016","LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL","New York","BROOKLYN","Charter agency","791","","10","","",""
"2016","3601017","BUSHWICK ASCEND CHARTER SCHOOL","New York","BROOKLYN","Charter agency","790","","165","","",""
"2016","3601018","CHALLENGE PREPARATORY CHARTER SCHOOL","New York","FAR ROCKAWAY","Charter agency","684","","23","","",""
"2016","3601019","NEW WORLD PREPARATORY CHARTER SCHOOL","New York","STATEN ISLAND","Charter agency","386","","55","","",""
"2016","3601022","HEALTH SCIENCES CHARTER SCHOOL","New York","BUFFALO","Charter agency","456","","5","","",""
"2016","3601023","NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","New York","NEW YORK","Charter agency","254","","41","","",""
