"year","leaid","lea_name","state_name","city_location","agency_type","enrollment"
"2014","3615060","HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT","New York","TANNERSVILLE","Regular local school district","354"
"2014","3615090","HUNTINGTON UNION FREE SCHOOL DISTRICT","New York","HUNTINGTON STATION","Regular local school district","4563"
"2014","3615180","HYDE PARK CENTRAL SCHOOL DISTRICT","New York","HYDE PARK","Regular local school district","3776"
"2014","3615210","KINDERHOOK CENTRAL SCHOOL DISTRICT","New York","VALATIE","Regular local school district","1912"
"2014","3615270","INDIAN LAKE CENTRAL SCHOOL DISTRICT","New York","INDIAN LAKE","Regular local school district","124"
"2014","3615300","INDIAN RIVER CENTRAL SCHOOL DISTRICT","New York","PHILADELPHIA","Regular local school district","4140"
"2014","3615330","INLET COMMON SCHOOL DISTRICT","New York","INLET","Regular local school district","28"
"2014","3615360","IROQUOIS CENTRAL SCHOOL DISTRICT","New York","ELMA","Regular local school district","2375"
"2014","3615390","WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT","New York","ROCHESTER","Regular local school district","3619"
"2014","3615420","HOPEVALE UNION FREE SCHOOL DISTRICT AT HAMBURG","New York","HAMBURG","Regular local school district",""
"2014","3615450","IRVINGTON UNION FREE SCHOOL DISTRICT","New York","IRVINGTON","Regular local school district","1769"
"2014","3615480","ISLAND PARK UNION FREE SCHOOL DISTRICT","New York","ISLAND PARK","Regular local school district","753"
"2014","3615510","ISLAND TREES UNION FREE SCHOOL DISTRICT","New York","LEVITTOWN","Regular local school district","2298"
"2014","3615540","ISLIP UNION FREE SCHOOL DISTRICT","New York","ISLIP","Regular local school district","2961"
"2014","3615570","ITHACA CITY SCHOOL DISTRICT","New York","ITHACA","Regular local school district","5384"
"2014","3615630","JAMESTOWN CITY SCHOOL DISTRICT","New York","JAMESTOWN","Regular local school district","5188"
